country,year,protected_terrestrial_pct,protected_area_flag
PT,2012,22.0,
PT,2013,22.3,
PT,2014,22.3,
PT,2015,22.3,
PT,2016,22.3,
PT,2017,22.4,
PT,2018,22.4,
PT,2019,22.4,
PT,2020,22.4,
PT,2021,22.4,
PT,2022,22.4,
PT,2023,22.6,
RO,2011,23.2,
RO,2012,23.2,
RO,2013,23.2,
RO,2014,23.2,
RO,2015,23.2,
RO,2016,23.4,
RO,2017,23.4,
RO,2018,23.4,
RO,2019,23.4,
RO,2020,23.4,
RO,2021,23.4,
RO,2022,23.4,
RO,2023,23.5,
SE,2011,14.0,
SE,2012,14.1,
SE,2013,14.2,
SE,2014,14.2,
SE,2015,14.3,
SE,2016,14.3,
SE,2017,14.5,
SE,2018,14.7,
SE,2019,14.8,
SE,2020,14.8,
SE,2021,14.9,
SE,2022,14.9,
SE,2023,15.3,
SI,2011,40.2,
SI,2012,40.2,
SI,2013,40.5,
SI,2014,40.5,
SI,2015,40.5,
SI,2016,40.5,
SI,2017,40.5,
SI,2018,40.5,
SI,2019,40.5,
SI,2020,40.5,
SI,2021,40.5,
SI,2022,40.5,
SI,2023,40.5,
SK,2011,37.1,
SK,2012,37.1,
SK,2013,37.1,
SK,2014,37.1,
SK,2015,37.4,
SK,2016,37.4,
SK,2017,37.4,
SK,2018,37.4,
SK,2019,37.4,
SK,2020,37.4,
SK,2021,37.5,
SK,2022,37.5,
SK,2023,37.4,
